nom_ancien,nom_propre
alfred,Alfred
anydesk,AnyDesk
balenaetcher,balenaEtcher
bambu-studio,Bambu Studio
brave-browser,Brave
broot,broot
command line tools for xcode,Command Line Tools for Xcode
connecteurs antidote,Connecteurs Antidote
coteditor,CotEditor
cbeaver,DBeaver
dbeaver-community,DBeaver
deskpad,DeskPad
docker,Docker
firefox,Firefox
freecad,Freecad
gimp,Gimp
google-chrome,Google Chrome
google-earth-pro,Google Earth Pro
inkscape,Inkscape
joplin,Joplin
libreoffice,LibreOffice
libreoffice-language-pack,LibreOffice language pack
lulu,LuLu
macfuse,macFUSE
mactex,MacTex
microsoft-auto-update,Microsoft Auto Update
microsoft-teams,Microsoft Teams
musescore,Musescore
nano,nano
nextcloud,Nextcloud
ollama,ollama
onyx,OnyX
openvpn,openvpn
openvpn-connect,OpenVPN Connect
oracle-jdk,Oracle JDK
parallels-desktop,Parallels Desktop
php,php
plexamp,Plexamp
positron,Positron
postman,Postman
qgis,QGIS
quarto,Quarto
r,R
raycast,Raycast
readest,Readest
rstudio,RStudio
scribus,Scribus
skype,Skype
sonos,Sonos
teamviewer,TeamViewer
the-unarchiver,The Unarchiver
todoist,Todoist
vlc,VLC
vnc-viewer,VNC Viewer
vscodium,VSCodium
wireshark,Wireshark
zoom,Zoom
zotero,Zotero
